id,name_ja,name_en,domain,difficulty,thinkers,related,essay,essay_chars,related_notes,is_fallback,cost_usd,generated_at
business_anthropology,ビジネス人類学,Business Anthropology,経営学・人類学,2,マリエッタ・バーバ; カレン・ホー,ethnography; habitus; actor_network_theory,ビジネス人類学とは、企業・市場・組織を「異文化」として観察することで、数値では捉えきれない人間行動の論理を明るみに出す実践的知性である。その核心は、調査対象の内側に入り込む参与観察にあり、会議室でのインタビューや消費者アンケートが見落とす「暗黙の秩序」を記述することを目的とする。マリエッタ・バーバは1980年代からゼネラル・モーターズ社内にフィールドワーカーを送り込み、工場文化と意思決定構造の乖離を可視化した先駆者であり、カレン・ホーは2000年代に自らウォール街のアナリストとして潜入し、金融市場が「効率性」ではなく「流動性という文化的信仰」によって駆動されることを告発した。両者に共通するのは、経営学が自明とする前提そのものを問い直す視座である。現代経営においてビッグデータと行動経済学が支配的な語りとなった今、ビジネス人類学の意義はむしろ高まっている。統計は「何が起きているか」を教えてくれるが、「なぜそう行動するか」という文脈的理解は、当事者の時間に付き合い、言語化されない慣行に耳を澄ます他ない。神山氏が関心を持つ暗黙知の概念と照らし合わせれば、ビジネス人類学とは組織の中に堆積した暗黙知を「外の目」によって言語化する試みとも読める。市場調査の精度を上げることではなく、問いの立て方そのものを変える思考の道具である。,565,エスノグラフィー: ビジネス人類学の中心的方法論であり、組織や市場を「一つの文化圏」として捉え、数値化以前の意味の層を「厚い記述」として蓄積する実践がそのままフィールドワークの技法として機能する。 || ハビトゥス: 経営者や従業員が「当然」と感じる判断や慣行の多くは意識的な選択ではなく身体化された性向の産物であり、ビジネス人類学はこのハビトゥスを組織文化の沈殿層として可視化しようとする。 || アクターネットワーク理論: ビジネス人類学が「ヒト」中心の参与観察を起点とするのに対し、アクターネットワーク理論はERPシステムや評価シートといった非人間的アクターも組織文化を形成する共演者として位置づけ、両者は相互補完的な分析視角を形成する。,False,0.016218,2026-09-22T08:42:47+0900
ambidexterity,両利きの経営,Ambidextrous Organization,経営学,2,チャールズ・オライリー; マイケル・タッシュマン,innovators_dilemma; organizational_learning; blue_ocean_strategy,組織が「今を生きること」と「明日を創ること」を同時にこなせるか——両利きの経営とは、この根本的な問いに構造的な答えを与えようとした概念である。オライリーとタッシュマンが定式化したこのフレームの核心は、既存事業を磨き込む「深化（exploitation）」と、未知の領域を手探りする「探索（exploration）」が、互いに相手を食い潰す性質を持つという認識にある。深化は短期の成果をもたらし、探索は長期の生存を支える。だがその二つは、組織の文化・資源配分・意思決定の論理においてほぼ正反対の要求を突きつけてくる。この緊張関係をマネジメントで抑え込もうとすれば、どちらかが必ず犠牲になる。両利きの経営が提唱するのは、両者を分離しつつも統合するという、構造による解決である。この発想の背後には、マーチが1991年に定式化した探索と深化のトレードオフ論があり、組織が本質的にどちらか一方に引き寄せられるという認知的・制度的な力学を踏まえている。神山氏が関心を持つ暗黙知の観点から読み直すと、深化とはすでに身体化された知を洗練することであり、探索とはまだ言語化されていない知の地平を手探りで広げることだとも言える。組織が「知っていること」と「まだ知らないこと」の両方に同時に賭け続けられるかどうか——それが今日の不確実な環境において、生き延びる企業とそうでない企業を分ける分岐点になりつつある。,594,イノベーションのジレンマ: クリステンセンが描いた「合理的な経営判断が招く衰退」は、深化に最適化された組織が探索を自ら封じていく過程そのものであり、両利きの経営はそのジレンマへの処方箋として設計された概念である。優良企業の転落を「失敗」ではなく「構造」として読むなら、両利きはその構造を意図的に破る試みといえる。 || 組織学習: アージリスが提唱したダブルループ学習——前提ごと書き換える深い学習——は、探索フェーズで組織が必要とする認知変容に対応しており、両利きの経営は組織学習論が描く「変容できる組織」を戦略構造として実装しようとした試みとも読める。深化がシングルループ、探索がダブルループの場とするならば、両利きとは二つの学習モードを並行稼働させる組織設計論である。 || ブルーオーシャン戦略: ブルーオーシャンが「どこで戦うか」という市場選択の戦略論であるのに対し、両利きの経営は「その選択を可能にする組織をいかに作るか」という内部能力の問いであり、両者は戦略と組織の異なるレイヤーで補完関係にある。新市場を創出する意志があっても、探索を担う組織構造が伴わなければ青い海に漕ぎ出す船は建造されない。,False,0.018708,2026-09-22T08:44:12+0900
organizational_learning,組織学習,Organizational Learning,経営学,1,ピーター・センゲ; クリス・アージリス,seci_model; knowledge_management; psychological_safety,組織学習とは、組織が単なる個人の集合を超え、共有された思考の枠組みそのものを書き換えていく過程である。クリス・アージリスはここに鋭い区別を持ち込んだ。既存のルールの範囲内で誤りを修正する「シングルループ学習」に対し、そのルール自体を問い直す「ダブルループ学習」こそが、組織を真に変容させると論じた。ピーター・センゲはこれをさらに展開し、メンタルモデル・共有ビジョン・システム思考などの要素が絡み合う「学習する組織」という概念へと昇華させた。背景にあるのはサイバネティクスや行動科学の影響であり、組織を固定した機械ではなく、フィードバックによって自己を更新するシステムとして捉える視点である。現象学的に言えば、これは組織という集合的主体が自らの「地平（horizon）」——暗黙のうちに前提としている世界の見え方——に気づき、それを意識的に組み替えようとする営みに他ならない。AIがデータから学習するように見える時代において、むしろ問われるのは「人間の組織がいかに学ぶか」という問いの根拠そのものである。知識は個人の頭の中にあるのではなく、実践のただなかで生成され、組織の文化として沈殿していく。そのプロセスを経営の中核に置くことが、今この概念が再び光を帯びる理由である。,535,SECIモデル: 組織学習が「組織はいかに変容するか」を問うとすれば、SECIモデルはその変容を駆動する知識の回路を解剖しており、暗黙知が形式知へと浮上し、再び実践へと沈んでいく螺旋こそが学習の実態的な姿を示している。 || 知識経営: 組織学習が変容のプロセスに着目するのに対し、知識経営はそのプロセスによって生まれる知識を経営資源として設計・管理しようとする試みであり、両者は「学ぶこと」と「学んだものを活かすこと」という表裏の関係にある。 || 心理的安全性: ダブルループ学習が前提とする「既存の枠組みを問い直す」という行為は、権威や慣習への挑戦を含むため、心理的安全性のない組織では構造的に抑圧され、組織学習は表層の修正にとどまり続ける。,False,0.015471,2026-09-22T08:44:32+0900
husserl,フッサール,Husserl,現象学,3,フッサール,phenomenology; intentionality; lifeworld,エトムント・フッサールが哲学に突きつけた問いは、驚くほど根本的なものだった。私たちが「ある」と感じているこの世界は、いったいどのようにして意識のなかに立ち現れているのか。彼はその問いを追うために、日常的な思い込みも科学的な確信も、いったんすべて「括弧に入れる」という操作を考案した。エポケー、すなわち判断中止と呼ばれるこの手続きによって、世界の実在を問うことをいったん停止し、意識に純粋に現れてくる構造だけを記述しようとしたのである。出発点は19世紀末の心理学主義批判にある。当時は論理法則も心理的事実として説明しようとする風潮があったが、フッサールは『論理学研究』でそれを痛烈に退け、意識の働きと意識に与えられた内容を厳密に区別することから現象学という新しい学問領域を切り開いた。その影響はハイデガー、メルロ＝ポンティ、サルトルへと波及し、20世紀大陸哲学の地形そのものを作り変えた。経営の現場に引き寄せて考えれば、熟練者が「なぜかうまくいく」と感じる直観の手前には、言語化される以前の知覚の層がある。フッサールが照らし出したのはまさにその層であり、暗黙知や意思決定の研究が今なお現象学に立ち返るのは偶然ではない。見えていると思っていたものを、もう一度「そのもの」として見直す作業は、哲学の営みであると同時に、組織と向き合うリーダーの思考鍛錬でもある。,577,現象学: フッサールが創始した方法論そのものであり、彼が生涯をかけて彫琢した「意識への問い返し」の実践が、そのまま現象学という運動の核を形成している。 || 志向性: フッサールが意識分析の中心に据えた原理であり、意識は常に何かへと向かう運動であるという洞察が、現象学的記述のあらゆる出発点となっている。 || 生活世界: フッサール後期の主著『ヨーロッパ諸学の危機と超越論的現象学』で展開された概念であり、科学が抽象化によって忘却してしまった原初の経験の地平を取り戻すことこそ、エポケーという方法の最終的な射程を示している。,False,0.015486,2026-09-22T08:44:51+0900
dwelling,住まうこと,Dwelling / Wohnen,現象学,3,マルティン・ハイデガー; クリストファー・アレグザンダー,heidegger; being_in_the_world; pattern_language,「住まう」とは、屋根の下に身を置くことではない。ハイデガーが1951年の講演「建てること、住まうこと、考えること」で示したのは、住まうとは一つの存在様式であり、大地・空・死すべき者・神的なものという「四方界（フォーファルト）」を傷つけずに保護しながら、そこに留まり続けることだという洞察だった。建物は住まうことの結果として建てられるのであり、建物があるから住まいが生まれるのではない。この逆転は小さいようで根深い。近代の建築思想が空間を機能とコストの最適解として設計してきたとすれば、ハイデガーはその前提そのものを問い直した。人間は環境を外から操作する主体ではなく、場所との不断の応答関係のなかに織り込まれた存在であり、住まうことはその応答の総体なのだ。この思想を継いだクリストファー・アレグザンダーは、生きた建築が持つ「繰り返し現れる良い形」をパタン・ランゲージとして記述しようとした。その背後にある問いは同じだ、人が場所と深く共鳴するとき、そこに何が起きているのか。リモートワーク時代に「どこでも働ける」が自明になりつつある今、私たちは逆説的に「どこに住まうか」の意味の重さを問い直している。空間の選択がアイデンティティや思考の質に直結するという経営者の肌感覚は、この概念の射程と静かに重なる。,549,ハイデガー: 「住まうこと」はハイデガーの晩年思想における存在論の結晶であり、「存在と時間」で解き明かした現存在の構造を、具体的な場所と身体の次元へと彫り込んだ概念だと言える。抽象的な存在論が、煉瓦と土と光の問題として語り直される瞬間がこの講演にある。 || 世界内存在: 「世界内存在」が主観と客観の二分法を解体したとすれば、「住まうこと」はその解体の後に現れる人間と場所の積極的な関係を記述する概念であり、いわば「世界内存在」の建築的・空間的な展開形である。どちらも、人間が世界に先立って孤立した主体であるという近代的幻想への異議申し立てを共有している。 || パターンランゲージ: アレグザンダーがパタン・ランゲージで捉えようとした「生きた構造」は、ハイデガーの「住まうこと」が照らし出す、人と場所の根源的な共鳴を設計言語として記述する試みだった。住まうことが現象学的な問いだとすれば、パタン・ランゲージはその問いへの実践的な応答である。,False,0.017637,2026-09-22T08:45:12+0900
intentionality,志向性,Intentionality,現象学,2,ブレンターノ; フッサール,phenomenology; yogachara; husserl,意識とは何かを問うとき、私たちはつい「容れ物としての心」を思い描く。しかし志向性という概念は、その直観を根底から覆す。意識は空の器ではなく、常に何かへと向かう動き、「〜についての」という構造を本質とする——フランツ・ブレンターノが19世紀末にスコラ哲学の遺産を再発見する形でこの命題を定式化し、エトムント・フッサールがそれを現象学の礎石として精緻に彫り上げた。知覚、記憶、欲望、判断。どれをとっても意識は必ず対象に向けて「射出」されており、対象なき純粋な心的状態などというものは原理的に存在しない。この洞察の射程は哲学にとどまらない。人工知能研究者たちが「記号はなぜ世界と意味的につながれるのか」と問うとき、あるいは認知科学者が「表象とは何か」と格闘するとき、彼らはいずれもこの古い問いに再び引き戻されている。経営の現場で言えば、戦略を立案するとき「顧客が何を見ているか」ではなく「顧客の意識が何へと向かっているか」を問うことは、志向性の思考法の実践そのものだ。意識は対象から切り離して測れない。それは常に、意識と世界の「あいだ」で起きている出来事である。,478,現象学: 志向性は現象学が解明しようとする意識構造の核心であり、「意識に現れる現象を先入観なく記述する」という現象学の方法は、この「何かへの向かい」という構造を丁寧に追跡する作業にほかならない。 || 唯識: 一切は識の現れであるとする唯識の立場は、外的対象の実在性を括弧に入れる点で志向性論と緊張関係にあり、意識が対象を構成するのか、対象なき識の展開があるのかという問いを互いに照らし合わせる。 || フッサール: フッサールは志向性をブレンターノから継承しつつ、意識がいかにして対象を「構成」するかという問いへと深化させ、志向性の概念を心理学的記述から超越論的分析の道具へと鍛え直した中心人物である。,False,0.014733,2026-09-22T08:45:32+0900
phenomenology,現象学,Phenomenology,現象学,2,フッサール; ハイデガー; メルロ＝ポンティ,intentionality; lifeworld; embodiment,私たちは世界をそのまま見ているつもりで、実は無数の理論や先入観を通して見ている。現象学が問うのは、その層を一枚ずつ剥がしたとき、意識にじかに届いている「もの」とは何か、という問いである。フッサールが20世紀初頭に提唱したこの方法の核心は、科学的説明や常識的判断をいったん「括弧に入れ」（エポケー）、意識に現れるものをあるがままに記述することにある。正しい答えを求めるより先に、正しい問いの立て方を問い直す、いわば哲学の根拠づけ直しの試みだった。ハイデガーはその問いを人間の「存在」そのものへと転回させ、私たちは世界の中に「投げ込まれた」存在として、常にすでに状況の只中にいると論じた。メルロ＝ポンティはさらに踏み込み、思考より前に身体が世界を把握しているという事実に光を当てた。この系譜が現代において再び注目される理由は、人工知能や認知科学が「意識とは何か」という問いに正面から向き合わざるを得なくなった状況と無縁ではない。経営の現場で感じる「データには映らないが確かにある空気」や、暗黙知の手触りを問い直そうとするとき、現象学の問い方はいまなお最も鋭利な道具の一つであり続けている。,492,志向性: 意識が常に「何かについての」意識であるというこの概念は、現象学が「意識の内側」だけでなく「意識と世界の関係構造」そのものを記述しようとする理由を根拠づける、フッサール現象学の出発点である。志向性を認めることで、主観と客観を切り離さず、両者の相関として経験を記述するという現象学固有のスタンスが成立する。 || 生活世界: 現象学が記述しようとする「先入観を括弧に入れた後に現れるもの」の実質が、この生活世界にほかならない。科学が抽象化するより前に私たちが住んでいる前理論的な経験の地平であり、フッサールはこれをすべての知の究極的な正当化根拠として晩年に掘り起こした。 || 身体性: 現象学が「意識に現れるものをそのまま記述する」という方法を突き詰めたとき、思考する純粋な精神ではなく、世界に触れる身体こそが経験の根拠であるという結論をメルロ＝ポンティはひき出した。身体性はその意味で、現象学的記述がたどり着いた一つの終点であり、暗黙知や熟練の問いへの橋渡しでもある。,False,0.016773,2026-09-22T08:45:51+0900
body_schema,身体図式,Body Schema,現象学,2,モーリス・メルロ＝ポンティ; シャウン・ギャラガー,merleau_ponty; embodiment; embodied_cognition,"身体図式とは、自分の身体がどこにあり、どう動いているかを意識せずに知っている、という暗黙の編成のことである。ピアノ奏者が鍵盤を見ずに指を走らせるとき、指は「考えて」動いているのではなく、図式が先回りして動作を束ねている。意識の上に浮かぶ身体の自己像——身体像（body image）——とは異なり、図式は行為の最中に静かに働き、私たちが「できる」ことを下から支えている。

この概念を哲学の中心に据えたのがメルロ＝ポンティである。彼は『知覚の現象学』で、身体を外側から観察される物体としてではなく、世界に向かって開かれた「生きられる身体」として捉え直した。身体図式はその議論の核心に位置し、神経科学者シャウン・ギャラガーが後に実験的・分析的な精度を与えることで、現象学と認知科学の橋渡し概念へと育った。

図式が興味深いのは、その可塑性にある。熟練した外科医にとってメスの先は手の延長であり、長距離ドライバーにとってトラックの車幅は自分の身幅として内在化されている。道具や環境を取り込んで伸縮するこの性質は、組織学習の文脈で言えば、「身体で覚えたこと」がいかに根を張るか——そしていかに変えにくいか——を解き明かす鍵になる。変革を語るとき私たちが直面する「頭ではわかっているのに動けない」という摩擦は、身体図式の書き換えがいかに時間と反復を要するかを示している。",581,メルロ＝ポンティ: 身体図式はメルロ＝ポンティが「生きられる身体」を論じる際の要石であり、意識ではなく行為を通じた身体の自己組織化として彼の現象学を肉付けする概念である。身体図式なくして、「身体が思考に先立って世界を把握する」という彼の核心命題は成立しない。 || 身体性: 身体性が「認識は身体を通じて生まれる」という広い原理を示すとすれば、身体図式はその原理が具体的にどのような仕組みで作動しているかを記述する機構的な概念である。両者は問いの粒度が異なるだけで、同じ地盤の上に立っている。 || 身体化された認知: 身体化された認知が認知科学において「体で考える」を主張するとき、その主張を現象学的に先駆けて示していたのが身体図式の概念であり、道具や環境が図式に取り込まれるという事実はエンボディメント論の最も鮮明な実例である。,False,0.017229,2026-09-22T08:46:16+0900
intersubjectivity,間主観性,Intersubjectivity,現象学,2,フッサール; シュッツ,lifeworld; theory_of_mind; dialogical_self,"私たちは他者の意識を直接のぞくことができない。それでも、会議室の空気が「場」として共有され、沈黙が了解を意味し、一冊の本をめぐって見知らぬ人と議論が噛み合う。この不思議を解くための概念が「間主観性」である。個々の主観はそれぞれ閉じているが、その間には意味が通り合う構造が先立って存在する、とフッサールは考えた。私という視点と、あなたという視点は互いに「置換可能」であるという前提を、私たちはあらかじめ持ち込んで世界を経験している。これは感情移入の技術ではなく、社会的現実そのものの土台をなす構造である。

フッサールがこの問題に苦闘したのは晩年のことで、彼の議論は未完成なまま弟子たちに引き継がれた。社会学者アルフレッド・シュッツはそれを日常世界の記述へと展開し、人々が「当たり前」として共有する意味の在庫が、いかに社会的行為を可能にするかを精緻に論じた。間主観性は現象学の難問であるだけでなく、組織論や経営学における「共通理解の生成」という実践的問いの哲学的基盤でもある。

今、AIが会話を模倣し、リモート環境が場の共有を危うくしている時代に、間主観性という問いは色を失わない。むしろ「共有されているとは何か」という問いが、かつてなく切迫した問題として経営の現場にも忍び込んでいる。",543,生活世界: 間主観性が可能である前提として、すでに共同的な意味の地平が存在するが、フッサールはその地平そのものを「生活世界」と呼んだ。つまり間主観性は生活世界の中で成立し、生活世界は間主観性によって支えられるという、相互前提の関係にある。 || 心の理論: 心の理論は「他者が異なる信念を持つ」と個人が認知できるかを問うが、間主観性はその認知以前に、意味を共有する構造がすでに世界の側にあると見る点で、問いの方向が逆転している。心の理論が主観から出発するのに対し、間主観性は間から出発する。 || 対話的自己: 対話的自己が内部の複数の声の対話として自己を記述するとき、その「声」はもともと間主観的な関係の沈殿物であるという見方ができる。外部の他者との対話が内面化されて複数の自己位置を形成するという発想は、間主観性の内面化モデルとして読み解くことができる。,False,0.01638,2026-09-22T08:46:35+0900
distributed_cognition,分散認知,Distributed Cognition,認知科学・組織学習論,2,エドウィン・ハッチンズ,extended_mind; embodied_cognition; tacit_knowledge,"認知とは、ひとりの頭の中で起きる出来事ではない。エドウィン・ハッチンズが1995年の著作『Cognition in the Wild』で示したのは、この一見シンプルな命題がいかに根深い革命を含んでいるかということだ。彼が観察したのは、米海軍の艦船における航海という日常的な実践である。水先案内人の判断、海図、羅針盤、見張りの声、紙に刻まれた数値——これらが互いに情報を受け渡し、変換し、蓄積することで、はじめて「船が正しい位置を知る」という認知が成立する。知性は個人に宿るのではなく、人と道具と環境が結びついた系の全体に分散しているのだ。

思想史的に見れば、ハッチンズの視点はヴィゴツキーの「道具と記号による媒介」やギブソンの生態学的知覚論を継承しつつ、それを組織の現場に接地させたものといえる。個人の認知能力を所与として分析するのではなく、系がどのように設計され、情報がどのような経路を流れるかを問うことで、学習や判断の単位そのものを問い直す視座を与えた。

現代の経営環境に引き戻せば、この問いはきわめて現実的な射程を持つ。AIツールの導入やリモートワークの常態化によって、組織の「認知系」の設計は意識的であれ無意識であれ日々再編されている。誰が何をどこで知るか、という問題は、もはや情報システムの設計だけでなく、知性そのものの設計の問題として経営者の前に現れている。",587,拡張された心: チャーマーズとクラークが哲学的思考実験として提示した「心の外延化」を、ハッチンズは組織の実践観察によって経験科学の次元で裏付けた——両者は個人の頭蓋骨を認知の境界とみなす前提を、それぞれの方法で解体している。 || 身体化された認知: 身体化された認知が「脳と身体の関係」を問い直すのに対し、分散認知はその問いをさらに「身体と道具と社会的環境の関係」へと拡張する補完関係にある。 || 暗黙知: ポランニーが「語れない知」として個人の内側に残したものを、分散認知の観点からは「系の中に分散して埋め込まれた知」として再記述できる可能性があり、組織の暗黙知が実は人と道具の配置そのものに宿っているという問いを開く。,False,0.016242,2026-09-22T08:46:57+0900
