no,status,first_shown,shown_count,id,name_ja,name_en,domain,domain_top,difficulty,thinkers,related,summary,seed,Obsidian
1,既出,2026/5/20,2,seci_model,SECIモデル,SECI Model,経営学・知識経営,経営学,1,野中郁次郎; 竹内弘高,tacit_knowledge,暗黙知と形式知が組織内で循環するプロセスをSocia…,"暗黙知と形式知が組織内で循環するプロセスを Socialization, Externalization, Combination, Internalization の4段階で表したモデル。",〇
2,既出,2026/5/29,2,blue_ocean_strategy,ブルーオーシャン戦略,Blue Ocean Strategy,経営学,経営学,1,W・チャン・キム; レネ・モボルニュ,ambidexterity; innovators_dilemma; service_innovation,競争の激しい既存市場（赤い海）ではなく、競争のない新…,競争の激しい既存市場（赤い海）ではなく、競争のない 新市場（青い海）を創出する戦略論。価値とコストの トレードオフを破壊する Value Innovation が核心。,
3,既出,2026/6/2,1,servant_leadership,サーバントリーダーシップ,Servant Leadership,経営学,経営学,1,ロバート・グリーンリーフ,psychological_safety; teal_organization; organizational_learning,リーダーは権威を振るうのではなく、まず仲間に仕える存…,リーダーは権威を振るうのではなく、まず仲間に仕える存在で あるべきだとする経営哲学。傾聴と共感を中心に据える、 ディープリスニング経営の源流。,
4,既出,2026/6/22,1,knowledge_management,知識経営,Knowledge Management,経営学,経営学,1,野中郁次郎; ピーター・ドラッカー,tacit_knowledge; seci_model; knowledge_transfer,組織内の知識を資産として捉え、創造・共有・活用するた…,組織内の知識を資産として捉え、創造・共有・活用するための 経営手法。暗黙知と形式知の相互変換を組織能力の源泉とする。,〇
5,既出,2026/7/9,1,visionary_company,ビジョナリー・カンパニー,Built to Last,経営学,経営学,1,ジム・コリンズ; ジェリー・ポラス,ambidexterity; organizational_learning; knowledge_management,18組の企業比較から抽出した、時代を超えて卓越する企…,18 組の企業比較から抽出した、時代を超えて卓越する 企業の条件。利益最大化ではなく中核理念の堅持と、 進歩への絶え間ない衝動が両立する。,
6,既出,2026/7/12,1,mot,技術経営,Management of Technology (MOT),経営学・工学,経営学,2,延岡健太郎,knowledge_management; service_innovation,技術資源を企業戦略と結びつけ、研究開発から事業化まで…,技術資源を企業戦略と結びつけ、研究開発から事業化までを 統合的に管理する方法論。技術の不確実性と市場の動態を 同時に読み解く経営の知。,〇
7,既出,2026/9/17,1,innovators_dilemma,イノベーションのジレンマ,Innovator's Dilemma,経営学,経営学,1,クレイトン・クリステンセン,ambidexterity; blue_ocean_strategy; organizational_learning,優良企業ほど既存顧客の声に応えるあまり、破壊的イノベ…,優良企業ほど既存顧客の声に応えるあまり、破壊的 イノベーションに対応できず転落する逆説。 合理的経営判断こそが衰退の原因となる構造。,〇
8,既出,2026/5/31,1,differance,差延,Différance,現代思想,現代思想,3,ジャック・デリダ,derrida; language_game; deleuze,デリダが脱構築の鍵概念として提示した『差延』,デリダが脱構築の鍵概念として提示した『差延』。差異と 遅延を一語に重ね、意味は完結せず常に他へとずれ続けると 示した。声・現前の哲学への根本的批判。,
9,既出,2026/9/11,1,deleuze,ドゥルーズ,Deleuze,現代思想,現代思想,3,ジル・ドゥルーズ,rhizome; spinoza; derrida,『差異と反復』『アンチ・オイディプス』（ガタリと共著…,『差異と反復』『アンチ・オイディプス』（ガタリと共著）で 20 世紀後半哲学を一変させたフランス哲学者。差異・生成・ リゾームで、同一性と表象の哲学を超える思考を展開。,
10,既出,2026/5/16,1,embodiment,身体性,Embodiment / Leib,現象学,現象学,2,メルロ＝ポンティ,embodied_cognition; being_in_the_world,認識や意味が、抽象的な精神ではなく身体を通じて成立し…,認識や意味が、抽象的な精神ではなく身体を通じて 成立しているという観点。「世界の身体的把握」が 認知の根源にある。,〇
11,既出,2026/5/30,1,sorge,配慮（ゾルゲ）,Sorge / Care,現象学・実存哲学,現象学,3,ハイデガー,being_in_the_world; responsibility_for_other; phenomenology,『存在と時間』でハイデガーが現存在の根本構造として提…,『存在と時間』でハイデガーが現存在の根本構造として提示した 『気遣い』。世界・道具・他者・自己への配慮として、 人間は単なる主体ではなく関係の網目に置かれている。,〇
12,既出,2026/7/28,1,lifeworld,生活世界,Lebenswelt / Lifeworld,現象学,現象学,2,フッサール,phenomenology; intersubjectivity,科学的抽象化以前の、日常的な経験の地平,科学的抽象化以前の、日常的な経験の地平。 すべての理論的営みが立脚する前理論的な世界。 フッサール後期の中心概念。,〇
13,既出,2026/8/12,1,heidegger,ハイデガー,Heidegger,現象学・実存哲学,現象学,3,ハイデガー,being_in_the_world; sorge; phenomenology; husserl,『存在と時間』で存在論を根底から問い直した20世紀最…,『存在と時間』で存在論を根底から問い直した 20 世紀最大級の 哲学者。現存在・世界内存在・気遣いといった核心概念で、 人間と世界の根源的関係を描き直した。,〇
14,既出,2026/9/14,1,merleau_ponty,メルロ＝ポンティ,Merleau-Ponty,現象学,現象学,3,メルロ＝ポンティ,embodiment; embodied_cognition; husserl; phenomenology,『知覚の現象学』で身体を哲学の中心に据えたフランス現…,『知覚の現象学』で身体を哲学の中心に据えたフランス現象学者。 意識ではなく身体こそが世界と関わる根源、と示し、 認知科学のエンボディメント論を半世紀先取りした。,
15,既出,2026/5/1,1,affordance,アフォーダンス,Affordance,認知科学・生態心理学,認知科学,1,ジェームズ・ギブソン; ドナルド・ノーマン,umwelt; embodied_cognition,環境が動物に提供する行為の可能性,環境が動物に提供する行為の可能性。 椅子は「座れること」をアフォードする。 認知は頭の中ではなく環境との関係に宿る。,
16,既出,2026/6/13,1,thinking_fast_and_slow,ファスト&スロー,"Thinking, Fast and Slow",認知科学,認知科学,1,ダニエル・カーネマン,dual_process_theory; heuristics; prospect_theory; behavioral_economics,カーネマンが集大成した著作にして、システム1（速・自…,カーネマンが集大成した著作にして、システム 1（速・自動） とシステム 2（遅・熟考）の協働と相克を中心テーマとする 認知科学の現代古典。,
17,既出,2026/9/6,1,metacognition,メタ認知,Metacognition,認知科学・教育学,認知科学,1,フラベル,theory_of_mind; dual_process_theory,自分の認知プロセスを認知する能力,自分の認知プロセスを認知する能力。 「考えていることを考える」自己モニタリング機能。 学習と意思決定の質を左右する。,〇
18,既出,2026/9/22,1,legitimate_peripheral_participation,正統的周辺参加,Legitimate Peripheral Participation,認知科学・教育学,認知科学,1,ジーン・レイヴ; エティエンヌ・ウェンガー,tacit_knowledge; phronesis; techne; educational_anthropology; knowledge_transfer; mcdonaldization,学習を頭への知識転送ではなく、実践共同体への参加の度…,学習を頭への知識転送ではなく、実践共同体への参加の度合いが深まる過程と 捉える理論。新参者はまず周辺的だが正統な役割（下ごしらえ、片づけ）を 与えられ、全体の流れに触れながら中心へ移動する。教室で技能が育たない 理由と、厨房で育つ理由を同じ枠で説明できる。W14 の徒弟制の議論の土台。,
19,既出,2026/7/7,1,aristotle,アリストテレス,Aristotle,古代哲学,古代哲学,2,アリストテレス,plato; socrates; ontology,論理学・形而上学・倫理学・政治学・詩学・自然学を体系…,論理学・形而上学・倫理学・政治学・詩学・自然学を体系化した 古代哲学の巨人。プラトンの弟子だが現実重視に転換、 中世以降の西欧学問の基本枠組みを与え続けた。,
